1,1,0,Provinsi Aceh,990015,0
2,1,1,Kab. Aceh Barat,990078,0
3,1,2,Kab. Aceh Besar,990022,0
4,1,3,Kab. Aceh Selatan,990061,0
5,1,4,Kab. Aceh Singkil,980007,0
6,1,5,Kab. Aceh Tengah,990082,0
7,1,6,Kab. Aceh Tenggara,990099,0
8,1,7,Kab. Aceh Timur,990057,0
9,1,8,Kab. Aceh Utara,990040,0
10,1,9,Kab. Bireuen,980053,0
11,1,10,Kab. Pidie,990036,0
12,1,11,Kab. Simeulue,993372,0
13,1,12,Kota Banda Aceh,990104,0
14,1,13,Kota Sabang,990111,0
15,1,14,Kota Langsa,994672,0
16,1,15,Kota Lhokseumawe,994686,0
17,1,16,Kab. Gayo Lues,997430,0
18,1,17,Kab. Aceh Barat Daya,997426,0
19,1,18,Kab. Aceh Jaya,997447,0
20,1,19,Kab. Nagan Raya,997451,0
21,1,20,Kab. Aceh Tamiang,997468,0
22,1,21,Kab. Bener Meriah,987532,0
23,1,22,Kab. Pidie Jaya,963311,0
24,1,23,Kota Subulussalam,963327,0
25,2,0,Provinsi Sumatera Utara,990125,0
26,2,1,Kab. Asahan,990221,0
27,2,2,Kab. Dairi,990192,0
28,2,3,Kab. Deli Serdang,990132,0
29,2,4,Kab. Karo,990146,0
30,2,5,Kab. Labuhanbatu,990188,0
31,2,6,Kab. Langkat,990150,0
32,2,7,Kab. Mandailing Natal,941915,0
33,2,8,Kab. Nias,990235,0
34,2,9,Kab. Simalungun,990171,0
35,2,10,Kab. Tapanuli Selatan,990214,0
36,2,11,Kab. Tapanuli Tengah,990167,0
37,2,12,Kab. Tapanuli Utara,990200,0
38,2,13,Kab. Toba Samosir,941922,0
39,2,14,Kota Binjai,990260,0
40,2,15,Kota Medan,990242,0
41,2,16,Kota Pematang Siantar,990277,0
42,2,17,Kota Sibolga,990298,0
43,2,18,Kota Tanjung Balai,990281,0
44,2,19,Kota Tebing Tinggi,990256,0
45,2,20,Kota Padang Sidempuan,994690,0
46,2,21,Kab. Pakpak Bharat,998147,0
47,2,22,Kab. Nias Selatan,998130,0
48,2,23,Kab. Humbang Hasundutan,998151,0
49,2,24,Kab. Serdang Bedagai,987418,0
50,2,25,Kab. Samosir,987528,0
51,2,26,Kab. Batu Bara,963333,0
52,2,27,Kab. Padang Lawas,975013,0
53,2,28,Kab. Padang Lawas Utara,975163,0
54,2,29,Kab. Labuhanbatu Selatan,977267,0
55,2,30,Kab. Labuhanbatu Utara,977117,0
56,2,31,Kab. Nias Utara,978536,0
57,2,32,Kab. Nias Barat,978397,0
58,2,33,Kota Gunungsitoli,978401,0
59,3,0,Provinsi Sumatera Barat,990303,0
60,3,1,Kab. Limapuluh Kota,990331,0
61,3,2,Kab. Agam  ,990310,0
62,3,3,Kab. Kepulauan Mentawai,980060,0
63,3,4,Kab. Padang Pariaman    ,990352,0
64,3,5,Kab. Pasaman    ,990324,0
65,3,6,Kab. Pesisir Selatan,990366,0
66,3,7,Kab. Sijunjung,990387,0
67,3,8,Kab. Solok,990345,0
68,3,9,Kab. Tanah Datar,990370,0
69,3,10,Kota Bukit Tinggi,990391,0
70,3,11,Kota Padang Panjang,990409,0
71,3,12,Kota Padang,990434,0
72,3,13,Kota Payakumbuh,990441,0
73,3,14,Kota Sawahlunto,990420,0
74,3,15,Kota Solok,990413,0
75,3,16,Kota Pariaman,997611,0
76,3,17,Kab. Pasaman Barat,987595,0
77,3,18,Kab. Dharmasraya,987574,0
78,3,19,Kab. Solok Selatan,987581,0
79,4,0,Provinsi Riau,990455,0
80,4,1,Kab. Bengkalis,990476,0
81,4,2,Kab. Indragiri Hilir,990502,0
82,4,3,Kab. Indragiri Hulu,990497,0
83,4,4,Kab. Kampar,990462,0
84,4,5,Kab. Kuantan Singingi,980138,0
85,4,6,Kab. Pelalawan,980074,0
86,4,7,Kab. Rokan Hilir,980095,0
87,4,8,Kab. Rokan Hulu,980081,0
88,4,9,Kab. Siak,980100,0
89,4,10,Kota Dumai,980142,0
90,4,11,Kota Pekanbaru,990519,0
91,4,12,Kab. Kepulauan Meranti,978417,0
92,5,0,Provinsi Jambi,990530,0
93,5,1,Kab. Batang Hari,990544,0
94,5,2,Kab. Bungo     ,990565,0
95,5,3,Kab. Kerinci,990586,0
96,5,4,Kab. Merangin,990572,0
97,5,5,Kab. Muaro Jambi,980184,0
98,5,6,Kab. Sarolangun,980163,0
99,5,7,Kab. Tanjung Jabung Barat,990551,0
100,5,8,Kab. Tanjung Jabung Timur,980522,0
101,5,9,Kab. Tebo,980170,0
102,5,10,Kota Jambi,990590,0
103,5,11,Kota Sungai Penuh,977562,0
104,6,0,Provinsi Sumatera Selatan,990608,0
105,6,1,Kab. Lahat,990661,0
106,6,2,Kab. Musi Banyuasin,990633,0
107,6,3,Kab. Musi Rawas,990675,0
108,6,4,Kab. Muara Enim,990654,0
109,6,5,Kab. Ogan Komering Ilir,990682,0
110,6,6,Kab. Ogan Komering Ulu,990640,0
111,6,7,Kota Palembang ,990696,0
112,6,8,Kota Prabumulih,994712,0
113,6,9,Kota Pagar Alam,994729,0
114,6,10,Kota Lubuk Linggau,994733,0
115,6,11,Kab. Banyuasin,997557,0
116,6,12,Kab. Ogan Ilir,987560,0
117,6,13,Kab. OKU Timur,987549,0
118,6,14,Kab. OKU Selatan,987553,0
119,6,15,Kab. Empat Lawang,963342,0
120,6,16,Kab. Penukal Abab Lematang Ilir,999011,0
121,6,17,Kab. Musi Rawas Utara,999015,0
122,7,0,Provinsi  Bengkulu,990718,0
123,7,1,Kab. Bengkulu Selatan,990739,0
124,7,2,Kab. Bengkulu Utara,990722,0
125,7,3,Kab. Rejang Lebong,990743,0
126,7,4,Kota Bengkulu,990750,0
127,7,5,Kab. Kaur,998215,0
128,7,6,Kab. Seluma,998201,0
129,7,7,Kab. Mukomuko,998503,0
130,7,8,Kab. Lebong,987600,0
131,7,9,Kab. Kepahiang,987617,0
132,7,10,Kab. Bengkulu Tengah,977710,0
133,8,0,Provinsi  Lampung,990764,0
134,8,1,Kab. Lampung Barat,990807,0
135,8,2,Kab. Lampung Selatan,990771,0
136,8,3,Kab. Lampung Tengah,990785,0
137,8,4,Kab. Lampung Utara,990792,0
138,8,5,Kab. Lampung Timur,980191,0
139,8,6,Kab. Tanggamus,993351,0
140,8,7,Kab. Tulang Bawang,993347,0
141,8,8,Kab. Way Kanan,980206,0
142,8,9,Kota Bandar Lampung,990811,0
143,8,10,Kota Metro,980210,0
144,8,11,Kab. Pesawaran,975311,0
145,8,12,Kab. Pringsewu,978423,0
146,8,13,Kab. Mesuji,978432,0
147,8,14,Kab. Tulang Bawang Barat,978448,0
148,8,15,Kab. Pesisir Barat,999003,0
149,9,0,Provinsi DKI Jakarta,990828,0
150,10,0,Provinsi Jawa Barat,990881,0
151,10,1,Kab. Bandung,991003,0
152,10,2,Kab. Bekasi,990963,0
153,10,3,Kab. Bogor,990938,0
154,10,4,Kab. Ciamis,991045,0
155,10,5,Kab. Cianjur,990959,0
156,10,6,Kab. Cirebon,991052,0
157,10,7,Kab. Garut,991024,0
158,10,8,Kab. Indramayu,991070,0
159,10,9,Kab. Karawang,990970,0
160,10,10,Kab. Kuningan,991066,0
161,10,11,Kab. Majalengka,991087,0
162,10,12,Kab. Purwakarta,990984,0
163,10,13,Kab. Subang,990991,0
164,10,14,Kab. Sukabumi,990942,0
165,10,15,Kab. Sumedang,991010,0
166,10,16,Kab. Tasikmalaya,991031,0
167,10,17,Kota Bandung,991091,0
168,10,18,Kota Bekasi,993330,0
169,10,19,Kota Bogor,991109,0
170,10,20,Kota Cirebon,991120,0
171,10,21,Kota Depok,980032,0
172,10,22,Kota Sukabumi,991113,0
173,10,23,Kota Tasikmalaya,994740,0
174,10,24,Kota Cimahi,994754,0
175,10,25,Kota Banjar,998126,0
176,10,26,Kab. Bandung Barat,963302,0
177,10,27,Kab. Pangandaran,999002,0
178,11,0,Provinsi Jawa Tengah,991141,0
179,11,1,Kab. Banjarnegara,991329,0
180,11,2,Kab. Banyumas,991290,0
181,11,3,Kab. Batang,991202,0
182,11,4,Kab. Blora,991286,0
183,11,5,Kab. Boyolali,991396,0
184,11,6,Kab. Brebes,991223,0
185,11,7,Kab. Cilacap,991308,0
186,11,8,Kab. Demak,991176,0
187,11,9,Kab. Grobogan,991180,0
188,11,10,Kab. Jepara,991265,0
189,11,11,Kab. Karanganyar,991422,0
190,11,12,Kab. Kebumen,991375,0
191,11,13,Kab. Kendal,991162,0
192,11,14,Kab. Klaten,991382,0
193,11,15,Kab. Kudus,991244,0
194,11,16,Kab. Magelang,991333,0
195,11,17,Kab. Pati,991230,0
196,11,18,Kab. Pekalongan,991197,0
197,11,19,Kab. Pemalang,991251,0
198,11,20,Kab. Purbalingga,991312,0
199,11,21,Kab. Purworejo,991361,0
200,11,22,Kab. Rembang,991272,0
201,11,23,Kab. Semarang,991155,0
202,11,24,Kab. Sragen,991401,0
